name,domain,expiry,secure,ccmImplemented,consentBanner,provider,popUpWorking,buttonType,manageCookiesLink,Duration
osano_consentmanager,.ironwoodins.com,2024-09-04 10:43:39,True,Yes,Yes,Osano,Yes,Type1 (Manage Cookies),Yes,12 (month)(s) 4 day(s) 23 hour(s) 59 minute(s) 43 second(s)
osano_consentmanager_uuid,.ironwoodins.com,2024-09-04 10:43:39,True,Yes,Yes,Osano,Yes,Type1 (Manage Cookies),Yes,12 (month)(s) 4 day(s) 23 hour(s) 59 minute(s) 37 second(s)
osano_consentmanager,.sanint.it,2024-09-04 10:44:35,True,Yes,Yes,TrustArc,Yes,None,No,12 (month)(s) 4 day(s) 23 hour(s) 59 minute(s) 42 second(s)
osano_consentmanager_uuid,.sanint.it,2024-09-04 10:44:35,True,Yes,Yes,TrustArc,Yes,None,No,12 (month)(s) 4 day(s) 23 hour(s) 59 minute(s) 37 second(s)
osano_consentmanager,.victorinsurance.nl,2024-09-04 10:45:08,True,Yes,Yes,Osano,Yes,Type1 (Manage Cookies),No,12 (month)(s) 4 day(s) 23 hour(s) 59 minute(s) 43 second(s)
osano_consentmanager_uuid,.victorinsurance.nl,2024-09-04 10:45:08,True,Yes,Yes,Osano,Yes,Type1 (Manage Cookies),No,12 (month)(s) 4 day(s) 23 hour(s) 59 minute(s) 37 second(s)
JSESSIONID,mmcglobal.okta.com,Session Cookie (no explicit expiry),True,No,No,None,No,None,No,Session Cookie (no explicit expiry)
DT,mmcglobal.okta.com,2024-10-09 10:45:39,True,No,No,None,No,None,No,1 (month)(s) 4 day(s) 23 hour(s) 59 minute(s) 11 second(s)
osano_consentmanager,.sanint.it,2024-09-04 10:47:28,True,Yes,Yes,TrustArc,Yes,None,No,12 (month)(s) 4 day(s) 23 hour(s) 59 minute(s) 39 second(s)
osano_consentmanager_uuid,.sanint.it,2024-09-04 10:47:28,True,Yes,Yes,TrustArc,Yes,None,No,12 (month)(s) 4 day(s) 23 hour(s) 59 minute(s) 33 second(s)
osano_consentmanager,.victorinsurance.nl,2024-09-04 10:48:03,True,Yes,Yes,Osano,Yes,Type1 (Manage Cookies),No,12 (month)(s) 4 day(s) 23 hour(s) 59 minute(s) 43 second(s)
osano_consentmanager_uuid,.victorinsurance.nl,2024-09-04 10:48:03,True,Yes,Yes,Osano,Yes,Type1 (Manage Cookies),No,12 (month)(s) 4 day(s) 23 hour(s) 59 minute(s) 38 second(s)
JSESSIONID,mmcglobal.okta.com,Session Cookie (no explicit expiry),True,No,No,None,No,None,No,Session Cookie (no explicit expiry)
DT,mmcglobal.okta.com,2024-10-09 10:48:33,True,No,No,None,No,None,No,1 (month)(s) 4 day(s) 23 hour(s) 59 minute(s) 12 second(s)
